Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly
52,56,8,9,21,599,20,,False,True,False,False,False
48,57,29,1,19,554,12,,True,False,True,True,False
28,34,20,1,1,986,19,,False,False,False,False,False
52,5,12,5,23,844,12,,False,False,False,False,False
52,37,26,5,29,668,3,,False,False,True,False,False
56,55,15,10,3,867,26,,False,False,True,False,False
64,48,9,7,26,471,11,,True,True,False,False,False
41,59,30,5,26,628,11,,True,False,False,False,False
48,47,12,0,29,761,8,,False,False,False,True,False
22,39,10,3,29,599,13,,True,False,True,True,False
42,19,25,5,13,372,8,,False,True,False,True,False
55,54,26,0,9,213,13,,False,True,False,False,False
43,6,16,6,21,996,17,,False,False,False,True,False
34,26,22,8,9,403,3,,True,True,False,True,False
27,42,22,3,27,468,25,,True,False,False,True,False
19,59,24,3,26,368,8,,False,False,False,False,True
58,59,10,5,8,599,25,,True,False,False,True,False
22,39,9,2,13,759,1,,False,False,False,False,True
22,25,10,10,17,966,7,,True,True,False,True,False
61,28,9,6,5,784,7,,False,False,True,True,False
28,17,19,10,12,332,24,,True,True,False,False,True
33,36,18,0,24,364,1,,True,True,False,False,False
37,57,21,6,6,209,29,,False,True,False,False,True
65,6,21,1,2,428,29,,False,True,False,False,True
22,51,27,9,23,347,11,,True,False,True,False,False
42,37,14,0,24,418,13,,True,True,False,False,False
36,42,18,8,6,322,10,,False,True,False,False,True
20,32,7,5,14,920,28,,True,False,False,False,False
58,21,28,10,2,894,28,,True,False,False,False,False
65,21,3,5,20,570,1,,True,False,True,False,True
40,6,26,10,0,632,5,,True,False,False,False,False
52,45,20,6,28,442,10,,False,False,True,True,False
35,47,23,4,8,969,7,,True,False,True,False,False
62,16,13,9,15,719,19,,False,False,True,False,True
41,20,27,4,13,941,18,,True,False,False,True,False
36,10,22,9,0,218,7,,True,False,True,False,True
39,59,29,5,7,225,27,,True,False,False,False,False
62,10,9,1,18,345,27,,True,False,True,False,True
55,22,15,1,19,769,30,,True,False,True,False,True
44,54,20,1,9,717,9,,False,False,False,False,True
39,7,30,3,5,199,13,,False,False,False,True,False
30,57,20,8,26,821,8,,True,True,False,True,False
41,8,11,9,24,900,14,,True,True,False,True,False
56,56,3,3,12,175,11,,True,False,True,True,False
24,10,3,8,13,317,3,,True,False,False,False,False
28,43,30,7,5,600,11,,False,False,False,True,False
46,43,10,0,10,779,23,,False,False,False,False,True
18,36,18,7,14,635,19,,True,False,True,True,False
34,28,7,8,7,524,1,,True,True,False,True,False
39,13,27,6,21,382,16,,True,False,False,False,True
32,3,12,8,8,990,21,,False,False,False,False,True
35,47,2,8,21,532,7,,False,False,False,True,False
40,28,4,0,21,377,7,,True,False,False,False,False
44,13,26,3,3,486,25,,True,False,False,True,False
52,50,10,2,26,640,3,,False,False,False,False,True
40,35,15,6,20,104,27,,False,False,False,False,False
41,58,27,1,3,392,3,,True,True,False,False,False
30,23,29,1,22,255,24,,False,False,True,False,False
64,36,17,4,15,237,5,,False,False,True,True,False
43,52,13,10,14,555,11,,False,False,True,False,True
31,36,23,2,5,444,2,,False,True,False,False,False
61,6,15,2,30,630,18,,True,True,False,False,False
56,33,7,0,22,664,27,,False,True,False,True,False
57,37,15,4,10,186,9,,True,False,False,True,False
41,59,20,0,17,978,11,,False,False,True,False,True
46,47,14,10,16,996,16,,True,False,False,False,False
65,26,17,10,25,254,1,,False,False,False,False,False
25,27,15,2,15,123,19,,True,False,False,False,True
43,37,11,3,23,377,9,,True,False,True,False,False
65,13,4,3,12,921,3,,True,False,False,True,False
25,58,7,5,9,920,22,,False,False,False,False,False
45,56,29,0,24,335,18,,True,False,True,False,False
20,59,10,5,5,803,15,,True,True,False,False,True
38,10,9,1,30,888,28,,True,True,False,False,False
43,16,20,10,26,712,2,,False,False,False,False,False
24,8,12,9,15,257,18,,True,False,False,False,False
56,2,20,6,17,355,12,,False,False,False,False,True
61,58,24,9,5,201,20,,True,True,False,True,False
38,16,13,2,28,133,24,,False,True,False,False,False
39,24,6,5,28,910,22,,True,True,False,False,True
29,42,8,8,21,419,27,,True,True,False,False,True
31,20,12,1,7,115,7,,True,True,False,False,False
25,22,5,5,29,121,20,,True,False,False,True,False
62,22,30,9,21,736,24,,True,False,False,False,False
64,13,16,10,18,934,11,,True,False,True,False,False
57,7,27,7,23,640,1,,False,False,True,False,False
48,41,25,10,1,119,13,,True,False,True,False,False
21,3,8,5,15,994,25,,True,True,False,False,True
26,16,10,0,14,411,19,,False,False,True,False,False
63,36,21,8,0,817,22,,True,True,False,False,False
28,14,5,3,4,200,7,,True,True,False,True,False
36,51,1,0,7,837,16,,True,True,False,False,False
31,34,23,5,12,164,2,,True,False,True,False,True
64,46,2,1,12,413,12,,False,False,False,False,True
49,53,16,5,3,423,15,,False,False,True,False,False
58,54,18,1,29,235,29,,False,True,False,False,True
51,6,22,7,23,862,3,,True,True,False,False,True
62,10,11,5,1,775,6,,False,False,True,False,True
41,55,17,10,12,259,22,,False,True,False,True,False
22,59,9,4,9,581,4,,False,False,False,True,False
56,52,27,5,13,796,25,,True,False,True,False,False
59,20,8,10,3,317,20,,False,False,True,False,False
51,6,1,9,18,354,12,,False,False,True,False,True
57,5,13,7,3,821,16,,True,False,False,False,True
56,36,4,4,21,946,30,,False,True,False,False,True
23,42,23,6,24,838,6,,True,False,True,True,False
33,52,26,0,10,136,4,,False,False,True,False,True
29,31,30,8,24,150,11,,True,True,False,False,True
49,40,11,4,17,546,7,,True,True,False,True,False
25,28,8,4,23,716,1,,False,True,False,True,False
37,1,7,4,22,699,15,,True,False,True,False,False
45,40,10,10,28,912,8,,True,True,False,False,False
53,13,11,9,14,350,9,,True,False,False,False,False
33,60,24,10,18,423,24,,False,True,False,True,False
20,5,22,8,0,973,25,,True,True,False,True,False
62,26,18,1,16,683,12,,True,False,True,False,False
37,55,8,8,4,561,16,,True,False,True,True,False
51,38,21,4,5,203,26,,True,False,False,False,True
21,41,13,8,22,538,18,,False,True,False,True,False
64,60,25,5,8,720,24,,True,True,False,False,False
41,50,15,6,1,588,10,,True,False,True,False,False
44,44,30,0,26,656,6,,True,False,True,True,False
20,4,26,8,12,733,4,,True,False,True,False,False
18,28,12,3,20,261,13,,True,False,True,True,False
41,58,24,9,16,447,20,,False,False,True,False,False
50,46,2,4,28,527,19,,True,True,False,False,False
59,41,29,3,1,833,5,,True,False,False,False,True
39,29,25,4,2,254,20,,True,False,True,False,True
19,17,11,6,24,715,15,,True,False,True,False,True
29,56,21,3,26,239,29,,False,False,False,False,True
45,20,1,4,15,224,13,,False,False,True,True,False
36,24,29,1,26,566,8,,True,True,False,True,False
20,9,27,5,16,295,21,,False,False,True,False,False
30,44,22,4,18,890,12,,False,False,True,False,True
33,5,25,1,26,821,27,,True,False,True,False,False
27,29,30,4,3,258,18,,True,False,False,False,False
36,26,7,2,3,371,8,,False,False,False,False,False
33,35,29,9,18,335,8,,True,False,False,True,False
18,33,18,1,22,312,29,,True,False,False,False,False
64,13,20,0,22,749,14,,True,False,True,False,True
48,36,19,1,13,140,28,,True,True,False,False,False
57,15,4,5,30,960,21,,False,False,True,False,True
28,22,5,1,2,838,10,,False,True,False,False,True
28,56,7,2,25,854,26,,True,False,False,True,False
22,45,29,8,7,344,17,,False,False,True,True,False
56,11,10,10,10,841,26,,True,False,False,False,False
23,31,15,6,11,705,24,,False,False,False,False,True
59,44,7,8,9,890,26,,True,False,True,False,False
46,27,25,6,8,150,28,,True,False,False,True,False
56,8,11,10,12,866,15,,True,True,False,False,True
37,25,19,8,26,212,13,,False,False,True,True,False
36,46,5,2,11,524,6,,True,True,False,False,True
59,36,16,4,26,894,29,,True,False,True,False,False
56,15,19,3,2,650,3,,False,False,True,False,True
51,32,20,2,24,505,21,,False,False,True,False,True
38,29,18,4,16,909,24,,False,False,True,False,False
20,60,29,7,22,298,23,,True,False,True,False,True
60,16,24,6,21,725,14,,False,False,False,True,False
49,59,9,2,18,733,18,,True,True,False,False,False
20,55,25,1,26,382,8,,False,True,False,False,True
58,29,20,0,20,126,9,,False,False,True,False,True
27,50,1,10,30,736,4,,True,False,True,False,False
20,29,5,4,17,584,26,,False,False,False,False,False
63,46,2,4,9,969,30,,True,False,False,False,True
47,33,5,4,23,393,14,,False,True,False,False,True
63,18,15,3,27,722,26,,True,True,False,False,False
62,51,9,2,0,654,16,,True,True,False,True,False
46,35,29,8,5,805,2,,False,False,True,True,False
49,33,23,3,21,230,23,,False,True,False,False,False
46,52,26,5,27,403,14,,False,False,False,True,False
64,11,7,1,8,984,14,,False,False,False,False,False
60,13,17,7,19,849,26,,True,False,False,True,False
54,44,24,1,16,664,3,,True,True,False,False,False
47,52,3,6,1,408,7,,False,True,False,False,True
37,55,28,4,26,826,17,,True,False,False,True,False
19,1,13,6,9,302,3,,False,False,False,True,False
52,33,14,8,2,846,11,,False,False,True,False,True
62,5,18,6,14,205,22,,True,False,True,False,False
48,54,15,7,18,131,11,,True,False,True,False,True
60,18,27,1,30,426,30,,True,False,True,False,False
58,15,2,1,13,309,23,,True,True,False,False,False
43,31,8,7,28,313,10,,True,True,False,True,False
26,41,27,8,15,889,6,,True,True,False,True,False
41,45,21,5,18,799,7,,False,False,False,False,True
22,47,15,10,24,237,17,,True,True,False,False,False
45,14,20,1,13,828,11,,True,False,False,False,True
38,59,30,1,28,481,28,,True,True,False,False,True
28,49,22,6,29,187,13,,True,False,True,False,True
56,22,21,5,13,632,22,,True,True,False,True,False
42,17,14,6,22,207,10,,False,False,True,False,False
20,59,19,0,10,366,22,,False,True,False,False,True
62,52,1,4,22,153,26,,True,False,True,True,False
22,37,6,8,17,212,12,,False,False,False,False,True
30,46,18,4,13,300,21,,False,False,True,False,True
30,55,27,6,11,662,28,,False,False,True,True,False
44,21,18,4,27,388,12,,True,False,False,False,True
58,38,26,0,27,874,12,,True,True,False,False,False
59,41,18,6,18,971,12,,True,False,True,False,False
65,55,10,5,18,689,6,,True,True,False,False,True
30,42,15,8,8,280,20,,False,True,False,True,False
28,35,19,2,2,506,22,,False,True,False,True,False
58,39,16,0,8,690,17,,True,False,False,True,False
63,56,28,1,17,821,7,,False,False,False,False,True
62,35,8,7,8,514,17,,False,False,False,False,False
32,47,20,0,8,885,9,,False,True,False,True,False
20,19,10,5,11,644,8,,True,False,False,False,True
28,28,9,5,9,628,18,,False,True,False,True,False
19,54,27,6,30,131,20,,True,False,True,False,True
24,48,29,10,30,278,26,,False,True,False,True,False
43,28,4,10,9,280,15,,True,True,False,False,False
38,13,13,6,27,466,14,,False,False,True,False,True
52,26,28,3,6,953,5,,False,False,True,False,True
25,4,14,5,16,465,17,,True,True,False,False,False
37,10,22,2,3,292,6,,True,True,False,False,False
56,35,15,4,18,940,1,,True,False,True,True,False
55,28,11,0,21,741,4,,False,True,False,True,False
41,14,18,10,15,380,7,,False,False,False,False,False
61,46,5,2,3,501,21,,True,True,False,False,False
20,50,8,2,30,407,29,,False,False,False,False,False
40,5,1,3,21,101,12,,True,False,True,False,False
19,40,22,0,24,212,20,,True,True,False,False,True
44,34,30,4,28,654,26,,True,False,True,False,True
24,8,7,8,29,226,4,,False,True,False,False,False
28,1,4,6,1,337,6,,False,True,False,False,False
41,35,8,3,28,163,8,,True,False,True,False,False
20,56,12,5,14,837,9,,False,False,False,False,True
52,33,27,0,19,719,18,,True,False,False,True,False
47,14,28,4,26,987,2,,True,False,False,False,True
47,23,6,1,17,300,27,,False,False,False,False,False
18,50,10,6,27,487,18,,False,False,True,True,False
37,42,26,5,24,862,9,,True,True,False,False,True
36,38,14,4,7,863,7,,True,False,False,False,False
48,35,26,3,5,415,20,,False,True,False,False,True
35,21,19,9,11,607,21,,False,False,False,True,False
52,9,2,5,3,592,24,,False,True,False,True,False
58,42,24,8,3,256,17,,False,False,True,False,False
62,35,18,4,24,603,9,,True,True,False,False,True
19,26,18,10,18,721,25,,False,False,True,True,False
41,49,27,0,5,329,8,,False,False,True,True,False
46,12,26,9,3,173,29,,True,False,False,True,False
29,24,30,1,7,101,30,,True,False,True,False,False
24,56,23,3,30,123,14,,True,False,True,False,True
31,16,8,0,1,438,23,,False,False,False,False,False
49,41,5,10,4,532,27,,True,False,False,False,False
29,37,16,0,7,845,2,,False,False,True,True,False
24,42,17,7,8,210,29,,False,False,False,False,False
19,29,28,1,21,802,17,,False,False,False,False,False
55,20,18,5,4,305,26,,True,True,False,False,True
62,3,6,5,0,808,26,,True,False,True,False,True
45,47,19,10,23,464,24,,False,False,False,True,False
31,52,7,10,19,197,3,,True,True,False,False,True
59,7,30,4,5,646,9,,False,True,False,False,True
64,51,1,0,22,800,9,,True,False,False,True,False
51,57,21,3,11,471,11,,False,True,False,True,False
36,15,10,8,0,672,2,,True,False,True,False,False
23,39,11,2,24,666,25,,False,False,True,True,False
61,42,3,2,24,525,25,,True,False,True,True,False
25,32,1,0,5,404,27,,False,False,True,False,False
45,59,11,7,20,175,29,,False,False,True,False,False
58,60,5,8,17,951,13,,False,True,False,False,False
59,7,30,10,21,285,4,,True,False,True,False,False
52,37,17,5,10,476,1,,True,True,False,True,False
34,57,9,8,10,603,25,,False,False,True,True,False
41,2,22,7,23,681,23,,True,False,True,True,False
27,21,24,4,30,823,28,,False,False,True,False,False
26,54,26,8,27,525,30,,True,False,False,False,False
63,8,22,5,12,582,27,,False,False,False,False,False
53,46,5,5,4,977,2,,True,True,False,True,False
42,38,18,2,18,808,6,,False,False,False,True,False
55,56,30,8,10,550,17,,True,False,True,False,True
23,48,11,8,26,169,15,,False,False,False,True,False
36,51,21,6,16,278,27,,False,True,False,True,False
44,57,10,8,7,163,17,,False,False,True,True,False
45,16,14,3,9,474,14,,True,False,False,True,False
29,17,5,7,22,446,7,,True,False,False,False,False
47,37,20,8,16,641,2,,False,True,False,True,False
53,44,21,10,27,650,3,,False,False,True,False,False
24,3,8,4,8,647,21,,False,True,False,False,True
61,4,29,6,6,428,8,,False,True,False,False,False
22,59,23,1,6,707,12,,True,True,False,True,False
46,42,18,6,5,719,6,,False,True,False,True,False
55,29,3,8,4,918,9,,False,False,False,False,True
28,16,15,2,28,704,23,,True,False,True,False,True
28,17,4,5,25,519,8,,True,False,False,False,False
28,34,28,9,8,672,27,,False,False,True,False,True
30,40,30,7,14,296,25,,True,False,False,True,False
35,56,29,6,0,718,6,,False,False,False,False,True
28,2,8,7,16,141,8,,True,False,False,False,False
27,19,7,2,1,928,12,,False,True,False,True,False
60,46,6,1,25,621,2,,False,False,True,True,False
22,60,11,2,12,736,1,,True,True,False,True,False
51,6,20,7,22,999,3,,False,True,False,True,False
49,9,24,6,18,977,5,,False,False,False,False,True
30,41,17,2,14,706,12,,True,False,False,True,False
43,33,26,6,0,593,26,,True,True,False,False,True
57,41,7,3,25,130,18,,False,True,False,False,True
56,30,24,7,10,862,7,,False,False,True,True,False
62,47,8,10,7,107,9,,False,False,False,False,False
29,1,1,2,1,431,8,,True,True,False,False,True
50,41,11,7,10,503,24,,False,False,True,True,False
54,30,6,1,24,721,16,,False,False,True,True,False
55,39,30,6,1,795,2,,False,False,False,False,False
30,37,28,5,17,124,19,,False,True,False,False,False
53,45,25,1,11,420,18,,False,False,True,True,False
62,14,5,0,8,197,5,,True,False,True,False,True
57,35,15,1,17,632,19,,False,True,False,False,True
25,46,30,7,22,982,18,,False,True,False,False,True
34,17,23,9,28,421,16,,True,False,True,False,True
59,1,11,5,23,687,9,,False,False,False,False,True
35,2,25,3,23,899,29,,True,False,False,True,False
24,13,8,5,1,686,15,,True,True,False,False,True
21,45,5,2,10,288,11,,False,False,False,False,False
50,40,7,2,23,928,27,,False,False,False,False,False
53,10,17,4,25,321,12,,True,True,False,False,False
27,39,18,1,11,651,27,,True,False,False,False,False
23,20,14,3,22,924,20,,True,True,False,False,False
41,41,15,10,27,814,19,,False,True,False,False,True
54,41,21,2,17,420,21,,True,False,True,True,False
57,55,12,4,26,265,8,,False,False,False,True,False
46,37,21,9,6,425,21,,True,False,False,True,False
52,33,27,0,1,808,10,,False,False,True,True,False
24,32,28,5,9,218,2,,True,True,False,True,False
45,3,6,1,17,418,10,,True,False,True,False,False
47,12,18,1,13,872,24,,False,True,False,False,False
24,14,11,9,6,693,27,,False,False,False,False,True
65,45,2,3,16,738,1,,True,False,True,False,False
32,52,5,10,7,839,10,,True,True,False,False,False
39,36,30,7,5,149,4,,False,False,True,False,True
36,28,24,2,24,136,1,,False,True,False,False,True
57,57,7,5,26,699,26,,True,True,False,False,False
26,19,17,7,23,870,2,,True,True,False,False,True
54,38,24,3,13,619,5,,True,False,False,False,False
54,46,6,2,15,959,4,,False,False,False,True,False
60,12,5,1,17,826,7,,False,False,False,False,False
45,16,3,0,8,763,24,,False,False,False,True,False
21,1,30,4,4,642,21,,True,True,False,False,False
65,27,17,3,23,328,23,,True,True,False,False,False
21,41,24,5,10,524,13,,False,False,False,False,False
63,60,30,0,7,494,19,,False,True,False,False,False
40,49,5,6,21,292,14,,False,False,True,True,False
31,9,11,4,19,999,2,,False,True,False,False,False
44,45,26,3,1,927,9,,True,False,True,False,False
33,51,1,5,9,415,3,,False,False,True,False,True
52,56,10,4,5,444,9,,False,False,True,False,True
25,25,30,6,3,425,29,,False,True,False,False,False
33,16,4,5,21,233,21,,False,True,False,False,False
18,21,10,7,20,968,18,,True,False,False,True,False
63,11,8,1,20,534,27,,False,False,True,False,False
34,58,29,0,13,238,29,,True,True,False,False,True
31,34,1,9,24,190,16,,True,True,False,False,False
28,43,23,0,9,421,13,,False,False,True,False,False
44,29,27,6,2,653,8,,True,False,True,True,False
30,30,4,3,8,536,27,,False,False,False,False,True
43,31,3,2,20,406,13,,True,False,False,False,False
36,24,22,5,25,665,20,,True,False,True,False,False
18,8,3,7,20,412,26,,True,True,False,False,True
46,43,3,6,19,165,23,,False,False,False,True,False
54,18,4,1,22,272,29,,True,False,False,True,False
42,52,5,6,30,271,29,,False,False,True,False,True
39,12,28,0,1,233,27,,False,False,True,True,False
36,36,24,2,13,535,1,,False,False,True,False,True
19,58,15,9,17,317,2,,False,False,False,True,False
50,36,28,7,0,775,11,,True,True,False,False,False
58,9,19,4,26,805,21,,False,False,False,False,False
43,29,24,6,4,675,21,,False,True,False,False,True
29,33,2,7,13,190,9,,False,True,False,False,True
20,58,2,5,2,524,4,,True,False,False,False,True
57,34,1,5,20,790,10,,False,True,False,True,False
25,47,28,0,22,548,1,,True,True,False,True,False
63,23,13,3,19,966,19,,True,True,False,True,False
42,25,6,4,6,590,2,,True,False,False,True,False
47,1,21,10,21,271,21,,True,False,False,False,True
50,7,15,10,6,921,14,,True,False,False,False,True
23,7,27,8,18,776,16,,True,False,True,False,False
37,9,10,7,28,383,5,,True,False,False,False,False
18,1,21,8,17,360,28,,False,False,True,False,False
64,45,26,2,20,676,11,,True,True,False,False,True
20,6,21,8,26,948,3,,False,True,False,False,False
22,33,5,1,0,982,13,,True,True,False,False,True
59,44,6,10,26,291,15,,False,False,True,True,False
27,21,4,10,21,900,4,,False,False,True,False,False
24,27,15,2,6,907,9,,False,False,True,False,True
29,49,25,10,24,865,23,,True,True,False,True,False
53,30,24,4,24,346,29,,True,True,False,False,True
38,31,9,3,5,158,10,,True,False,True,True,False
44,1,25,6,2,474,2,,False,True,False,True,False
51,2,24,4,28,846,28,,False,False,True,False,True
30,53,7,9,20,307,8,,True,False,True,False,False
22,52,9,5,8,788,19,,True,True,False,False,False
33,55,15,8,30,611,16,,False,False,False,False,False
24,1,16,10,11,583,20,,False,False,False,True,False
46,30,29,5,10,447,30,,True,True,False,False,False
55,1,9,9,17,337,30,,True,True,False,False,False
30,58,5,7,22,848,6,,True,True,False,False,True
30,35,25,1,26,228,15,,True,False,False,True,False
45,13,29,3,18,642,18,,True,True,False,False,True
22,49,23,0,19,168,14,,False,False,True,False,False
58,38,6,9,29,284,29,,False,False,True,False,False
22,56,3,2,29,792,12,,True,False,False,False,True
59,3,7,6,22,466,6,,True,False,True,False,True
56,21,6,2,12,823,8,,False,False,False,False,True
36,30,19,9,11,121,3,,True,False,False,False,False
35,30,30,7,1,350,8,,True,False,True,False,True
61,49,8,4,10,880,14,,True,False,False,False,False
48,19,27,6,12,992,12,,False,True,False,True,False
23,32,1,6,27,336,25,,True,False,True,False,True
47,40,8,9,8,562,17,,True,False,True,True,False
61,53,30,0,0,521,1,,True,False,False,False,False
61,60,24,1,25,681,27,,False,False,True,False,True
26,59,8,4,26,409,20,,False,False,False,True,False
25,15,30,1,4,690,20,,False,True,False,True,False
22,49,7,8,8,751,5,,False,False,True,False,False
30,24,8,6,0,191,17,,False,False,False,True,False
51,11,8,7,3,649,20,,False,False,False,True,False
42,20,6,2,16,445,29,,False,False,True,True,False
25,25,30,0,23,641,4,,True,True,False,False,False
25,24,17,6,22,489,12,,False,False,True,False,False
22,36,30,4,7,362,2,,False,False,False,False,False
46,11,19,2,7,612,8,,True,False,True,False,True
24,19,18,4,30,814,20,,True,False,False,False,False
43,48,6,3,15,183,17,,False,True,False,False,True
46,52,22,3,16,494,17,,True,True,False,True,False
39,44,30,2,30,844,23,,False,False,True,False,False
35,22,4,2,25,735,15,,True,False,False,False,True
61,16,25,8,19,804,19,,True,False,True,False,True
51,38,26,1,18,318,5,,True,True,False,True,False
28,60,16,9,7,494,5,,True,False,False,True,False
26,44,15,1,24,109,5,,False,False,True,False,True
64,37,3,1,14,457,15,,True,False,True,False,False
30,24,15,0,2,755,15,,False,True,False,False,True
36,34,24,8,30,948,30,,False,False,True,False,True
32,43,8,2,14,323,7,,True,False,True,False,False
45,7,30,7,25,978,29,,True,False,False,False,False
18,21,2,7,3,312,8,,False,True,False,False,False
34,27,20,0,17,399,4,,False,False,False,False,False
23,24,6,1,28,388,15,,True,False,False,True,False
61,8,18,0,5,447,19,,False,False,True,False,True
47,39,15,6,9,912,12,,False,True,False,True,False
31,33,30,8,14,543,27,,False,False,True,False,True
25,7,11,8,29,441,10,,True,False,True,True,False
24,25,23,9,11,314,21,,False,True,False,False,False
59,26,28,0,27,523,29,,True,False,True,True,False
50,32,9,1,29,752,14,,False,False,False,False,True
59,45,14,7,16,440,7,,False,True,False,True,False
55,52,11,0,11,478,11,,True,False,True,False,False
56,23,18,2,14,625,6,,False,False,False,False,False
61,24,15,3,13,770,11,,False,True,False,True,False
39,48,1,8,16,317,12,,False,True,False,False,True
64,15,13,6,6,493,25,,False,False,False,False,True
35,52,2,4,20,851,9,,False,True,False,False,True
27,54,11,3,27,389,27,,True,False,False,False,False
46,29,2,8,21,344,17,,False,False,False,False,False
54,9,1,4,2,590,26,,True,False,True,False,False
37,15,11,6,14,152,14,,True,True,False,True,False
27,56,8,0,23,833,11,,False,False,False,True,False
37,13,13,8,12,439,18,,False,False,True,False,True
27,15,24,5,10,831,13,,True,False,True,False,False
47,53,8,0,21,745,9,,True,False,True,False,True
63,10,24,1,4,919,15,,False,False,True,True,False
63,20,15,9,13,704,3,,False,True,False,True,False
30,11,1,5,6,373,23,,True,False,True,False,False
53,52,10,0,0,974,8,,True,False,False,False,False
30,59,3,7,0,956,27,,False,True,False,False,True
25,32,15,5,10,849,27,,False,True,False,False,False
18,13,4,6,30,857,22,,True,True,False,False,False
36,57,21,0,27,648,19,,True,False,True,False,True
62,17,19,8,15,182,19,,False,False,True,True,False
64,4,15,7,13,344,23,,False,True,False,False,True
62,50,15,0,22,913,9,,True,True,False,True,False
22,22,22,9,5,534,17,,False,False,True,True,False
38,12,29,8,3,619,10,,False,False,True,False,True
59,46,8,7,12,891,6,,False,False,True,False,True
37,5,18,3,30,569,25,,True,False,False,False,True
35,40,7,3,23,752,13,,True,True,False,False,True
28,5,8,0,28,880,3,,True,True,False,True,False
23,59,11,10,1,970,16,,True,True,False,False,False
38,11,10,1,27,155,8,,True,False,True,True,False
51,20,2,6,8,230,23,,False,False,True,False,False
46,60,11,8,11,805,26,,True,False,True,False,True
60,10,1,2,16,328,20,,False,True,False,True,False
60,49,23,3,7,166,12,,False,False,True,False,False
48,5,29,6,1,976,22,,True,True,False,True,False
36,26,15,2,25,654,30,,True,True,False,False,True
